Id,Card,Card type,Monster type,Attribute,Type,Level,ATK,DEF 
6527,Elemental Hero Necroshade,Monster,Effect,DARK,Warrior,5,1600,1800
6529,Elemental Hero Madballman,Monster,Fusion,EARTH,Warrior,6,1900,3000
6530,Dark Eradicator Warlock,Monster,Effect,DARK,Spellcaster,7,2500,2100
6531,Mythical Beast Cerberus,Monster,Effect,LIGHT,Spellcaster,4,1400,1400
6533,King of Destruction - Xexex,Monster,Effect,DARK,Fiend,10,3000,2500
6534,Queen of Fate - Eternia,Monster,Effect,LIGHT,Fairy,8,2400,2000
6535,Elemental Hero Steam Healer,Monster,Fusion,WATER,Warrior,5,1800,1000
6540,Armed Dragon LV10,Monster,Effect,WIND,Dragon,10,3000,2000
6545,Rancer Dragonute,Monster,Effect,DARK,Dragon,4,1500,1800
6547,Axe Dragonute,Monster,Effect,DARK,Dragon,4,2000,1200
6550,White Horns D.,Monster,Effect,DARK,Dragon,6,2200,1400
6563,"Uria, Lord of Searing Flames",Monster,Effect,FIRE,Pyro,10,0,0
6564,"Hamon, Lord of Striking Thunder",Monster,Effect,LIGHT,Thunder,10,4000,4000
6565,"Raviel, Lord of Phantasms",Monster,Effect,DARK,Fiend,10,4000,4000
6566,Elemental Hero Neo Bubbleman,Monster,Effect,WATER,Warrior,4,800,1200
6567,Hero Kid,Monster,Effect,EARTH,Warrior,2,300,600
6568,Cyber Barrier Dragon,Monster,Effect,LIGHT,Machine,6,800,2800
6569,Cyber Laser Dragon,Monster,Effect,LIGHT,Machine,7,2400,1800
6570,Ancient Gear,Monster,Effect,EARTH,Machine,1,100,800
6586,Phantasmal Martyr Token,Monster,Token,DARK,Fiend,1,0,0
6587,Ancient Gear Cannon,Monster,Effect,EARTH,Machine,2,500,500
6588,Proto-Cyber Dragon,Monster,Effect,LIGHT,Machine,3,1100,600
6589,Adhesive Explosive,Monster,Effect,WIND,Machine,3,1000,1000
6590,Machine King Prototype,Monster,Effect,EARTH,Machine,3,1600,1500
6591,B.E.S. Covered Core,Monster,Effect,EARTH,Machine,7,2500,800
6592,D.D. Guide,Monster,Effect,DARK,Warrior,4,1400,1000
6593,Chain Thrasher,Monster,Effect,WIND,Warrior,4,1000,600
6594,Disciple of the Forbidden Spell,Monster,Effect,LIGHT,Warrior,4,1700,800
6595,Tenkabito Shien,Monster,Effect,FIRE,Pyro,4,1500,1000
6596,Parasitic Ticky,Monster,Effect,EARTH,Insect,1,?,?
6597,Gokipon,Monster,Effect,EARTH,Insect,2,800,800
6598,Silent Insect,Monster,Effect,EARTH,Insect,2,200,300
6599,Chainsaw Insect,Monster,Effect,EARTH,Insect,4,2400,0
6600,Anteatereatingant,Monster,Effect,EARTH,Insect,5,2000,500
6601,Saber Beetle,Monster,Effect,EARTH,Insect,6,2400,600
6602,Doom Dozer,Monster,Effect,EARTH,Insect,8,2800,2600
6603,Treeborn Frog,Monster,Effect,WATER,Aqua,1,100,100
6604,Beelze Frog,Monster,Effect,WATER,Aqua,3,1200,800
6605,Princess Pikeru,Monster,Effect,LIGHT,Spellcaster,4,2000,0
6606,Princess Curran,Monster,Effect,DARK,Spellcaster,4,2000,0
6607,Memory Crusher,Monster,Effect,DARK,Fiend,3,1000,600
6608,Malice Ascendant,Monster,Effect,DARK,Zombie,4,700,1000
6609,Grass Phantom,Monster,Effect,WATER,Plant,3,1000,1000
6610,Sand Moth,Monster,Effect,EARTH,Rock,4,1000,2000
6611,Divine Dragon - Excelion,Monster,Effect,LIGHT,Dragon,5,1500,900
6612,"Ruin, Queen of Oblivion",Monster,Ritual,LIGHT,Fairy,8,2300,2000
6613,"Demise, King of Armageddon",Monster,Ritual,DARK,Fiend,8,2400,2000
6614,D.3.S. Frog,Monster,Fusion,WATER,Aqua,8,2500,2000
6637,Option Token,Monster,Token,,?,,?,?
6638,Fluffy Token,Monster,Token,WIND,Plant,1,0,0
6639,Elemental Hero Erikshieler,Monster,Effect,LIGHT,Warrior,10,2900,2600
6640,"Exxod, Master of The Guard",Monster,Effect,EARTH,Rock,8,0,4000
6641,Great Spirit,Monster,Effect,EARTH,Rock,4,500,1500
6643,Elemental Hero Wild Wingman,Monster,Fusion,EARTH,Warrior,8,1900,2300
6644,Elemental Hero Necroid Shaman,Monster,Fusion,DARK,Warrior,6,1900,1800
6645,Golden Homunculus,Monster,Effect,LIGHT,Warrior,6,1500,1500
6646,Helios - The Primordial Sun,Monster,Effect,LIGHT,Pyro,4,?,?
6647,Helios Duo Megistus,Monster,Effect,LIGHT,Pyro,6,?,?
6648,Helios Tris Megistus,Monster,Effect,LIGHT,Pyro,8,?,?
6653,Elemental Hero Neos,Monster,Normal,LIGHT,Warrior,7,2500,2000
6654,Dandylion,Monster,Effect,EARTH,Plant,3,300,300
6655,Elemental Hero Phoenix Enforcer,Monster,Fusion,FIRE,Warrior,6,2100,1200
6656,Elemental Hero Shining Phoenix Enforcer,Monster,Fusion,FIRE,Warrior,8,2500,2100
6657,Elemental Hero Mariner,Monster,Fusion,WATER,Warrior,5,1400,1000
6658,Destiny Hero - Doom Lord,Monster,Effect,DARK,Warrior,3,600,800
6659,Destiny Hero - Captain Tenacious,Monster,Effect,DARK,Warrior,3,800,800
6660,Destiny Hero - Diamond Dude,Monster,Effect,DARK,Warrior,4,1400,1600
6661,Destiny Hero - Dreadmaster,Monster,Effect,DARK,Warrior,8,?,?
6662,Cyber Kirin,Monster,Effect,LIGHT,Machine,3,300,800
6663,Cyber Phoenix,Monster,Effect,FIRE,Machine,4,1200,1600
6664,Cyber Tutu,Monster,Effect,EARTH,Warrior,3,1000,800
6665,Cyber Gymnast,Monster,Effect,EARTH,Warrior,4,800,1800
6666,Cyber Prima,Monster,Effect,LIGHT,Warrior,6,2300,1600
6683,Searchlightman,Monster,Effect,LIGHT,Machine,3,1000,1000
6684,Victory Viper XX03,Monster,Effect,LIGHT,Machine,4,1200,1000
6685,Super-Electromagnetic Voltech Dragon,Monster,Effect,LIGHT,Thunder,5,2400,1000
6686,Harpie's Pet Baby Dragon,Monster,Effect,WIND,Dragon,4,1200,600
6687,Majestic Mech - Senku,Monster,Effect,LIGHT,Fairy,4,1000,500
6688,Majestic Mech - Ohka,Monster,Effect,LIGHT,Fairy,6,2400,1400
6689,Majestic Mech - Goryu,Monster,Effect,LIGHT,Fairy,8,2900,1800
6690,Bountiful Artemis,Monster,Effect,LIGHT,Fairy,4,1600,1700
6691,Royal Knight,Monster,Effect,LIGHT,Fairy,3,1300,800
6692,Herald of Purple Light,Monster,Effect,LIGHT,Fairy,2,300,500
6693,Herald of Green Light,Monster,Effect,LIGHT,Fairy,2,300,500
6694,Layard the Liberator,Monster,Effect,LIGHT,Fairy,4,1400,1500
6695,Banisher of the Radiance,Monster,Effect,LIGHT,Fairy,3,1600,0
6696,Voltanis the Adjudicator,Monster,Effect,LIGHT,Fairy,8,2800,1400
6697,Guard Dog,Monster,Effect,EARTH,Beast,3,1500,500
6698,Whirlwind Weasel,Monster,Effect,WIND,Beast,3,500,1500
6699,Avalanching Aussa,Monster,Effect,EARTH,Spellcaster,4,800,1500
6700,Raging Eria,Monster,Effect,WATER,Spellcaster,4,800,1500
6701,Blazing Hiita,Monster,Effect,FIRE,Spellcaster,4,800,1500
6702,Storming Wynn,Monster,Effect,WIND,Spellcaster,4,800,1500
6703,Batteryman D,Monster,Effect,LIGHT,Thunder,1,0,1900
6704,Swift Birdman Joe,Monster,Effect,WIND,Winged Beast,6,2300,1400
6720,"Simorgh, Bird of Divinity",Monster,Effect,WIND,Winged Beast,7,2700,1000
6721,Sonic Shooter,Monster,Effect,WIND,Winged Beast,4,1300,600
6734,Chimeratech Overdragon,Monster,Fusion,DARK,Machine,9,?,?
6736,Ambulanceroid,Monster,Effect,EARTH,Machine,3,300,1200
6738,Submarineroid,Monster,Effect,WATER,Machine,4,800,1800
6739,Super Vehicroid Jumbo Drill,Monster,Fusion,EARTH,Machine,8,3000,2000
6742,Decoyroid,Monster,Effect,WIND,Machine,2,300,500
6744,Ambulance Rescueroid,Monster,Fusion,FIRE,Machine,6,2300,1800
6745,Rescueroid,Monster,Effect,FIRE,Machine,6,1600,1800
6752,Destiny Hero - Blade Master,Monster,Effect,DARK,Warrior,3,300,600
6753,Destiny Hero - Dasher,Monster,Effect,DARK,Warrior,6,2100,1000
6754,Destiny Hero - Double Dude,Monster,Effect,DARK,Warrior,6,1000,1000
6755,Destiny Hero - Defender,Monster,Effect,DARK,Warrior,4,100,2700
6756,Destiny Hero - Fear Monger,Monster,Effect,DARK,Warrior,4,1000,1000
6757,Destiny Hero - Dogma,Monster,Effect,DARK,Warrior,8,3400,2400
6764,Chrysalis Dolphin,Monster,Effect,WATER,Fish,2,400,600
6765,Elemental Hero Dark Neos,Monster,Fusion,DARK,Warrior,7,2500,2000
6766,Elemental Hero Aqua Neos,Monster,Fusion,WATER,Warrior,7,2500,2000
6767,Elemental Hero Flare Neos,Monster,Fusion,FIRE,Warrior,7,2500,2000
6768,Neo-Spacian Aqua Dolphin,Monster,Effect,WATER,Warrior,3,600,800
6772,Neo-Spacian Dark Panther,Monster,Effect,DARK,Beast,3,1000,500
6773,Neo-Spacian Flare Scarab,Monster,Effect,FIRE,Insect,3,500,500
6776,Black Stego,Monster,Effect,EARTH,Dinosaur,4,1200,2000
6777,Ultimate Tyranno,Monster,Effect,EARTH,Dinosaur,8,3000,2200
6778,Rallis the Star Bird,Monster,Effect,WIND,Winged Beast,3,800,800
6796,Sabersaurus,Monster,Normal,EARTH,Dinosaur,4,1900,500
6797,Miracle Jurassic Egg,Monster,Effect,EARTH,Dinosaur,4,0,2000
6798,Black Ptera,Monster,Effect,WIND,Dinosaur,3,1000,500
6799,Babycerasaurus,Monster,Effect,EARTH,Dinosaur,2,500,500
6800,Alien Grey,Monster,Effect,LIGHT,Reptile,2,300,800
6802,Alien Skull,Monster,Effect,WIND,Reptile,4,1600,1800
6803,Alien Hunter,Monster,Effect,WATER,Reptile,4,1600,800
6804,Alien Warrior,Monster,Effect,EARTH,Reptile,4,1800,1000
6805,Alien Mother,Monster,Effect,DARK,Reptile,6,2300,1500
6806,Cosmic Horror Gangi'el,Monster,Effect,LIGHT,Reptile,7,2600,2000
6807,Flying Saucer Muusik'i,Monster,Effect,LIGHT,Machine,5,1000,2000
6815,Toy Magician,Monster,Effect,LIGHT,Spellcaster,4,1600,1500
6816,Super Conductor Tyranno,Monster,Effect,LIGHT,Dinosaur,8,3300,1400
6954,Phantom Beast Cross-Wing,Monster,Effect,LIGHT,Beast-Warrior,4,1300,1300
6955,Phantom Beast Wild-Horn,Monster,Effect,EARTH,Beast-Warrior,4,1700,0
6956,Phantom Beast Thunder-Pegasus,Monster,Effect,LIGHT,Beast-Warrior,4,700,2000
6957,Phantom Beast Rock Lizard,Monster,Effect,DARK,Beast-Warrior,7,2200,2000
4307,Legendary Sword,Spell,,,,,,
4308,Sword of Dark Destruction,Spell,,,,,,
4309,Dark Energy,Spell,,,,,,
4310,Axe of Despair,Spell,,,,,,
4311,Laser Cannon Armor,Spell,,,,,,
4312,Insect Armor with Laser Cannon,Spell,,,,,,
4313,Elf's Light,Spell,,,,,,
4314,Beast Fangs,Spell,,,,,,
4315,Steel Shell,Spell,,,,,,
4316,Vile Germs,Spell,,,,,,
4317,Black Pendant,Spell,,,,,,
4318,Silver Bow and Arrow,Spell,,,,,,
4319,Horn of Light,Spell,,,,,,
4320,Horn of the Unicorn,Spell,,,,,,
4321,Dragon Treasure,Spell,,,,,,
4322,Electro-Whip,Spell,,,,,,
4323,Cyber Shield,Spell,,,,,,
4324,Elegant Egotist,Spell,,,,,,
4325,Mystical Moon,Spell,,,,,,
4326,Stop Defense,Spell,,,,,,
4327,Malevolent Nuzzler,Spell,,,,,,
4328,Violet Crystal,Spell,,,,,,
4329,Book of Secret Arts,Spell,,,,,,
4330,Invigoration,Spell,,,,,,
4331,Machine Conversion Factory,Spell,,,,,,
4332,Raise Body Heat,Spell,,,,,,
4333,Follow Wind,Spell,,,,,,
4334,Power of Kaishin,Spell,,,,,,
4336,Forest,Spell,,,,,,
4337,Wasteland,Spell,,,,,,
4338,Mountain,Spell,,,,,,
4339,Sogen,Spell,,,,,,
4340,Umi,Spell,,,,,,
4341,Yami,Spell,,,,,,
4342,Dark Hole,Spell,,,,,,
4343,Raigeki,Spell,,,,,,
4344,Mooyan Curry,Spell,,,,,,
4345,Red Medicine,Spell,,,,,,
4346,Goblin's Secret Remedy,Spell,,,,,,
4347,Soul of the Pure,Spell,,,,,,
4348,Dian Keto the Cure Master,Spell,,,,,,
4349,Sparks,Spell,,,,,,
4350,Hinotama,Spell,,,,,,
4351,Final Flame,Spell,,,,,,
4352,Ookazi,Spell,,,,,,
4353,Tremendous Fire,Spell,,,,,,
4354,Swords of Revealing Light,Spell,,,,,,
4356,Dark-Piercing Light,Spell,,,,,,
4658,Magical Labyrinth,Spell,,,,,,
4659,Warrior Elimination,Spell,,,,,,
4660,Salamandra,Spell,,,,,,
4662,Eternal Rest,Spell,,,,,,
4663,Megamorph,Spell,,,,,,
4666,Acid Rain,Spell,,,,,,
4668,Eradicating Aerosol,Spell,,,,,,
4669,Breath of Light,Spell,,,,,,
4670,Eternal Draught,Spell,,,,,,
4674,Bright Castle,Spell,,,,,,
4676,Black Luster Ritual,Spell,,,,,,
4677,Zera Ritual,Spell,,,,,,
4678,Harpie's Feather Duster,Spell,,,,,,
4679,War-Lion Ritual,Spell,,,,,,
4680,Beastly Mirror Ritual,Spell,,,,,,
4682,Commencement Dance,Spell,,,,,,
4683,Hamburger Recipe,Spell,,,,,,
4685,Novox's Prayer,Spell,,,,,,
4698,Turtle Oath,Spell,,,,,,
4700,Resurrection of Chakra,Spell,,,,,,
4702,Javelin Beetle Pact,Spell,,,,,,
4703,Garma Sword Oath,Spell,,,,,,
4705,Revival of Dokurorider,Spell,,,,,,
4706,Fortress Whale's Oath,Spell,,,,,,
4727,Dark Magic Ritual,Spell,,,,,,
4798,Toon World,Spell,,,,,,
4802,Black Illusion Ritual,Spell,,,,,,
4803,Brain Control,Spell,,,,,,
4805,Multiply,Spell,,,,,,
4806,7 Completed,Spell,,,,,,
4810,The Flute of Summoning Dragon,Spell,,,,,,
4811,Shield & Sword,Spell,,,,,,
4812,Graceful Charity,Spell,,,,,,
4814,Mesmeric Control,Spell,,,,,,
4815,Graceful Dice,Spell,,,,,,
4817,Mind Control,Spell,,,,,,
4818,Scapegoat,Spell,,,,,,
4819,Amplifier,Spell,,,,,,
4821,Card Destruction,Spell,,,,,,
4828,Ectoplasmer,Spell,,,,,,
4830,Dark Magic Curtain,Spell,,,,,,
4832,Insect Barrier,Spell,,,,,,
4835,Fissure,Spell,,,,,,
4837,Polymerization,Spell,,,,,,
4838,Remove Trap,Spell,,,,,,
4840,Blue Medicine,Spell,,,,,,
4841,Raimei,Spell,,,,,,
4842,Monster Reborn,Spell,,,,,,
4843,De-Spell,Spell,,,,,,
4844,Pot of Greed,Spell,,,,,,
4845,Gravedigger Ghoul,Spell,,,,,,
4846,Burning Spear,Spell,,,,,,
4847,Gust Fan,Spell,,,,,,
4848,The Inexperienced Spy,Spell,,,,,,
4852,Ancient Telescope,Spell,,,,,,
4856,Tribute to The Doomed,Spell,,,,,,
4857,Soul Release,Spell,,,,,,
4858,The Cheerful Coffin,Spell,,,,,,
4860,Change of Heart,Spell,,,,,,
4868,Last Day of Witch,Spell,,,,,,
4869,Exile of the Wicked,Spell,,,,,,
4871,Restructer Revolution,Spell,,,,,,
4872,Fusion Sage,Spell,,,,,,
4873,Sword of Deep-Seated,Spell,,,,,,
4874,Block Attack,Spell,,,,,,
4877,Germ Infection,Spell,,,,,,
4878,Paralyzing Potion,Spell,,,,,,
4885,Last Will,Spell,,,,,,
4888,Ring of Magnetism,Spell,,,,,,
4889,Share the Pain,Spell,,,,,,
4890,Stim-Pack,Spell,,,,,,
4891,Heavy Storm,Spell,,,,,,
4893,Gravekeeper's Servant,Spell,,,,,,
4894,Curse of Fiend,Spell,,,,,,
4895,Upstart Goblin,Spell,,,,,,
4896,Toll,Spell,,,,,,
4897,Final Destiny,Spell,,,,,,
4898,Snatch Steal,Spell,,,,,,
4899,Chorus of Sanctuary,Spell,,,,,,
4900,Confiscation,Spell,,,,,,
4901,Delinquent Duo,Spell,,,,,,
4902,Darkness Approaches,Spell,,,,,,
4904,Tailor of the Fickle,Spell,,,,,,
4905,Rush Recklessly,Spell,,,,,,
4906,The Reliable Guardian,Spell,,,,,,
4907,The Forceful Sentry,Spell,,,,,,
4908,Chain Energy,Spell,,,,,,
4909,Mystical Space Typhoon,Spell,,,,,,
4910,Giant Trunade,Spell,,,,,,
4911,Painful Choice,Spell,,,,,,
4932,Gaia Power,Spell,,,,,,
4933,Umiiruka,Spell,,,,,,
4934,Molten Destruction,Spell,,,,,,
4935,Rising Air Current,Spell,,,,,,
4936,Luminous Spark,Spell,,,,,,
4937,Mystic Plasma Zone,Spell,,,,,,
4938,Messenger of Peace,Spell,,,,,,
4963,Nobleman of Crossout,Spell,,,,,,
4964,Nobleman of Extermination,Spell,,,,,,
4965,The Shallow Grave,Spell,,,,,,
4966,Premature Burial,Spell,,,,,,
4967,Inspection,Spell,,,,,,
4968,Prohibition,Spell,,,,,,
5007,Sebek's Blessing,Spell,,,,,,
5009,Riryoku,Spell,,,,,,
5010,Sword of Dragon's Soul,Spell,,,,,,
5011,Seal of the Ancients,Spell,,,,,,
5099,Soul Exchange,Spell,,,,,,
5101,Chosen One,Spell,,,,,,
5103,Curse of the Masked Beast,Spell,,,,,,
5104,Mask of Dispel,Spell,,,,,,
5107,Mask of the Accursed,Spell,,,,,,
5108,Mask of Brutality,Spell,,,,,,
5109,Return of the Doomed,Spell,,,,,,
5110,Lightning Blade,Spell,,,,,,
5116,Multiplication of Ants,Spell,,,,,,
5118,De-Fusion,Spell,,,,,,
5119,Jam Breeding Machine,Spell,,,,,,
5120,Nightmare's Steelcage,Spell,,,,,,
5121,Infinite Cards,Spell,,,,,,
5123,Card of Safe Return,Spell,,,,,,
5126,Burning Land,Spell,,,,,,
5127,Cold Wave,Spell,,,,,,
5128,Fairy Meteor Crush,Spell,,,,,,
5129,Limiter Removal,Spell,,,,,,
5131,Insect Imitation,Spell,,,,,,
5132,Dimensionhole,Spell,,,,,,
5151,Rain of Mercy,Spell,,,,,,
5152,Monster Recovery,Spell,,,,,,
5161,Yellow Luster Shield,Spell,,,,,,
5162,Creature Swap,Spell,,,,,,
5164,Spring of Rebirth,Spell,,,,,,
5166,Thousand Knives,Spell,,,,,,
5168,Mystic Box,Spell,,,,,,
5170,Ground Collapse,Spell,,,,,,
5173,Hot Sauce Bottle,Spell,,,,,,
5174,Flipping the Table,Spell,,,,,,
5176,Ritual of Lithmus,Spell,,,,,,
5178,Cupid Kiss,Spell,,,,,,
5180,Happy Marriage,Spell,,,,,,
5181,Illusion Gate,Spell,,,,,,
5182,Amazoness Arena,Spell,,,,,,
5184,Dark Scorpion - Tragedy of Love,Spell,,,,,,
5186,Ritual of the Matador,Spell,,,,,,
5187,Dark Arena,Spell,,,,,,
5188,Alchemic Kettle - Chaos Distill,Spell,,,,,,
5189,Philosopher's Stone - Sabatier,Spell,,,,,,
5190,Ayer's Rock Sunrise,Spell,,,,,,
5211,Scroll of Bewitchment,Spell,,,,,,
5212,United We Stand,Spell,,,,,,
5213,Mage Power,Spell,,,,,,
5214,Offerings to the Doomed,Spell,,,,,,
5216,Meteor of Destruction,Spell,,,,,,
5217,Lightning Vortex,Spell,,,,,,
5218,Exchange,Spell,,,,,,
5223,Dark Magician's Tome of Black Magic,Spell,,,,,,
5225,The Dark Door,Spell,,,,,,
5231,Cathedral of Nobles,Spell,,,,,,
5236,Foolish Burial,Spell,,,,,,
5237,Makiu,Spell,,,,,,
5246,Spiritualism,Spell,,,,,,
5270,Cyclon Laser,Spell,,,,,,
5271,"Spirit Message ""I""",Spell,,,,,,
5272,"Spirit Message ""N""",Spell,,,,,,
5273,"Spirit Message ""A""",Spell,,,,,,
5274,"Spirit Message ""L""",Spell,,,,,,
5275,Bait Doll,Spell,,,,,,
5276,Fusion Gate,Spell,,,,,,
5277,Ekibyo Drakmord,Spell,,,,,,
5278,Miracle Dig,Spell,,,,,,
5279,Dragonic Attack,Spell,,,,,,
5281,Vengeful Bog Spirit,Spell,,,,,,
5290,Enchanted Arrow,Spell,,,,,,
5296,Amazoness Spellcaster,Spell,,,,,,
5313,The Puppet Magic of Dark Ruler,Spell,,,,,,
5315,Double Snare,Spell,,,,,,
5327,The A. Forces,Spell,,,,,,
5328,Reinforcement of the Army,Spell,,,,,,
5329,Array of Revealing Light,Spell,,,,,,
5330,The Warrior Returning Alive,Spell,,,,,,
5343,A Wingbeat of Giant Dragon,Spell,,,,,,
5344,Dragon's Gunfire,Spell,,,,,,
5345,Stamping Destruction,Spell,,,,,,
5346,Super Rejuvenation,Spell,,,,,,
5350,Emergency Provisions,Spell,,,,,,
5352,Dragged Down into the Grave,Spell,,,,,,
5354,Spell Reproduction,Spell,,,,,,
5355,Shrink,Spell,,,,,,
5357,Cestus of Dagla,Spell,,,,,,
5367,Silent Fiend,Spell,,,,,,
5385,Fengsheng Mirror,Spell,,,,,,
5386,Heart of Clear Water,Spell,,,,,,
5387,A Legendary Ocean,Spell,,,,,,
5388,Fusion Sword Murasame Blade,Spell,,,,,,
5389,Smoke Grenade of the Thief,Spell,,,,,,
5390,Spiritual Energy Settle Machine,Spell,,,,,,
5391,Second Coin Toss,Spell,,,,,,
5392,Convulsion of Nature,Spell,,,,,,
5393,The Secret of the Bandit,Spell,,,,,,
5394,After the Struggle,Spell,,,,,,
5395,Magic Reflector,Spell,,,,,,
5430,Book of Life,Spell,,,,,,
5431,Book of Taiyou,Spell,,,,,,
5432,Book of Moon,Spell,,,,,,
5433,Mirage of Nightmare,Spell,,,,,,
5435,Call of the Mummy,Spell,,,,,,
5436,Timidity,Spell,,,,,,
5437,Pyramid Energy,Spell,,,,,,
5474,Toon Table of Contents,Spell,,,,,,
5479,Card of Sanctity,Spell,,,,,,
5480,Dark Designator,Spell,,,,,,
5486,Spell of Pain,Spell,,,,,,
5498,Machine Duplication,Spell,,,,,,
5505,Enemy Controller,Spell,,,,,,
5529,Card Shuffle,Spell,,,,,,
5530,Reasoning,Spell,,,,,,
5531,Dark Room of Nightmare,Spell,,,,,,
5532,Different Dimension Capsule,Spell,,,,,,
5533,Necrovalley,Spell,,,,,,
5534,Buster Rancher,Spell,,,,,,
5535,Hieroglyph Lithograph,Spell,,,,,,
5536,Dark Snake Syndrome,Spell,,,,,,
5537,Terraforming,Spell,,,,,,
5538,Banner of Courage,Spell,,,,,,
5539,Metamorphosis,Spell,,,,,,
5540,Royal Tribute,Spell,,,,,,
5541,Reversal Quiz,Spell,,,,,,
5575,Cost Down,Spell,,,,,,
5601,White Dragon Ritual,Spell,,,,,,
5602,Frontline Base,Spell,,,,,,
5603,Demotion,Spell,,,,,,
5604,Combination Attack,Spell,,,,,,
5606,Autonomous Action Unit,Spell,,,,,,
5607,Poison of the Old Man,Spell,,,,,,
5608,Ante,Spell,,,,,,
5609,Dark Core,Spell,,,,,,
5610,Raregold Armor,Spell,,,,,,
5612,Kishido Spirit,Spell,,,,,,
5613,Tribute Doll,Spell,,,,,,
5614,Wave-Motion Cannon,Spell,,,,,,
5630,Spell Absorption,Spell,,,,,,
5631,Diffusion Wave-Motion,Spell,,,,,,
5632,Fiend's Sanctuary,Spell,,,,,,
5669,Big Bang Shot,Spell,,,,,,
5670,Gather Your Mind,Spell,,,,,,
5671,Mass Driver,Spell,,,,,,
5672,Senri Eye,Spell,,,,,,
5673,Emblem of Dragon Destroyer,Spell,,,,,,
5674,Jar Robber,Spell,,,,,,
5675,My Body as a Shield,Spell,,,,,,
5676,Pigeonholing Books of Spell,Spell,,,,,,
5677,Mega Ton Magical Cannon,Spell,,,,,,
5678,Continuous Destruction Punch,Spell,,,,,,
5688,Excavation of Mage Stones,Spell,,,,,,
5721,Shinato's Ark,Spell,,,,,,
5722,A Deal with Dark Ruler,Spell,,,,,,
5723,Contract with Exodia,Spell,,,,,,
5724,Butterfly Dagger - Elma,Spell,,,,,,
5725,Shooting Star Bow - Ceal,Spell,,,,,,
5726,Gravity Axe - Grarl,Spell,,,,,,
5727,Wicked-Breaking Flamberge - Baou,Spell,,,,,,
5728,Rod of Silence - Kay'est,Spell,,,,,,
5729,Twin Swords of Flashing Light - Tryce,Spell,,,,,,
5730,Precious Cards from Beyond,Spell,,,,,,
5731,Rod of the Mind's Eye,Spell,,,,,,
5732,Fairy of the Spring,Spell,,,,,,
5733,Token Thanksgiving,Spell,,,,,,
5735,Non-Spellcasting Area,Spell,,,,,,
5736,Different Dimension Gate,Spell,,,,,,
5743,Soul Taker,Spell,,,,,,
5752,Magical Dimension,Spell,,,,,,
5754,Yu-Jo Friendship,Spell,,,,,,
5755,Unity,Spell,,,,,,
5757,Knight's Title,Spell,,,,,,
5758,Sage's Stone,Spell,,,,,,
5783,Incandescent Ordeal,Spell,,,,,,
5784,Contract with the Abyss,Spell,,,,,,
5785,Contract with the Dark Master,Spell,,,,,,
5786,Falling Down,Spell,,,,,,
5787,Checkmate,Spell,,,,,,
5788,Final Countdown,Spell,,,,,,
5789,Archfiend's Oath,Spell,,,,,,
5790,Mustering of the Dark Scorpions,Spell,,,,,,
5791,Pandemonium,Spell,,,,,,
5836,Fuhma Shuriken,Spell,,,,,,
5837,Heart of the Underdog,Spell,,,,,,
5838,Wild Nature's Release,Spell,,,,,,
5839,Ojama Delta Hurricane!!,Spell,,,,,,
5840,Stumbling,Spell,,,,,,
5841,Chaos End,Spell,,,,,,
5842,Chaos Greed,Spell,,,,,,
5843,D.D. Designator,Spell,,,,,,
5844,D.D. Borderline,Spell,,,,,,
5845,Recycle,Spell,,,,,,
5846,Primal Seed,Spell,,,,,,
5847,Thunder Crash,Spell,,,,,,
5848,Dimension Distortion,Spell,,,,,,
5849,Reload,Spell,,,,,,
5850,Soul Absorption,Spell,,,,,,
5903,Gryphon's Feather Duster,Spell,,,,,,
5904,Stray Lambs,Spell,,,,,,
5905,Smashing Ground,Spell,,,,,,
5906,Dimension Fusion,Spell,,,,,,
5907,Dedication through Light and Darkness,Spell,,,,,,
5908,Salvage,Spell,,,,,,
5909,Ultra Evolution Pill,Spell,,,,,,
5910,Earth Chant,Spell,,,,,,
5911,Jade Insect Whistle,Spell,,,,,,
5944,Dangerous Machine TYPE-6,Spell,,,,,,
5977,Opti-Camouflage Armor,Spell,,,,,,
5978,Mystik Wok,Spell,,,,,,
5979,Burst Stream of Destruction,Spell,,,,,,
5980,Monster Gate,Spell,,,,,,
5981,Weapon Change,Spell,,,,,,
5982,The Sanctuary in the Sky,Spell,,,,,,
5983,Earthquake,Spell,,,,,,
5984,Talisman of Trap Sealing,Spell,,,,,,
5985,Goblin Thief,Spell,,,,,,
6003,Shield Crash,Spell,,,,,,
6007,Marshmallon glasses,Spell,,,,,,
6046,Special Hurricane,Spell,,,,,,
6047,Order to Charge,Spell,,,,,,
6048,Sword of the Soul-Eater,Spell,,,,,,
6049,Dust Barrier,Spell,,,,,,
6050,Soul Reversal,Spell,,,,,,
6051,Spell Economics,Spell,,,,,,
6052,Blessings of the Nile,Spell,,,,,,
6053,7,Spell,,,,,,
6054,Level Limit - Area B,Spell,,,,,,
6055,Enchanting Fitting Room,Spell,,,,,,
6056,The Law of the Normal,Spell,,,,,,
6057,Dark Magic Attack,Spell,,,,,,
6058,Delta Attacker,Spell,,,,,,
6059,Thousand Energy,Spell,,,,,,
6060,Triangle Power,Spell,,,,,,
6061,The Third Sarcophagus,Spell,,,,,,
6062,The Second Sarcophagus,Spell,,,,,,
6090,Inferno Tempest,Spell,,,,,,
